epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3349,1.03976,4.08384,1.01979,0.00333,0.97222,0.01609,0.01191,0.80512,3.53171,0.89207,0.0002,0.0002,0.0002
2,19.4368,0.8478,1.90959,0.90533,0.00333,0.97222,0.01178,0.00829,0.752,3.44838,0.86248,0.00041307,0.00041307,0.00041307
3,24.3466,0.83128,1.48644,0.8893,0.00267,0.77778,0.00692,0.0054,0.74872,3.64169,0.87029,0.00061888,0.00061888,0.00061888
4,29.2695,0.77706,1.39085,0.89063,0.00333,0.97222,0.01374,0.01061,0.84855,3.40714,0.86805,0.00081743,0.00081743,0.00081743
5,35.1346,0.81592,1.33736,0.93289,0.00333,0.97222,0.1653,0.13646,0.84281,3.14425,0.87461,0.00100872,0.00100872,0.00100872
6,40.0316,0.76531,1.17622,0.90851,0.59217,0.58333,0.58127,0.43313,0.73983,3.09108,0.85257,0.00119275,0.00119275,0.00119275
7,45.7208,0.75114,1.13715,0.89854,0.52827,0.22222,0.54275,0.42929,0.66068,2.70737,0.82224,0.00136952,0.00136952,0.00136952
8,52.0416,0.75729,1.15544,0.89724,0.8481,0.46553,0.86713,0.72376,0.66135,2.25018,0.82771,0.00153903,0.00153903,0.00153903
9,57.803,0.73564,1.1242,0.91013,1,0.56976,0.94383,0.7769,0.70546,2.16483,0.84531,0.00170128,0.00170128,0.00170128
10,62.7755,0.72318,0.99028,0.89231,0.88694,0.94444,0.94847,0.81185,0.61976,1.79688,0.81551,0.001703,0.001703,0.001703
11,67.4492,0.6793,0.93257,0.88181,0.99721,0.97222,0.97504,0.84408,0.58142,1.25157,0.79161,0.00167,0.00167,0.00167
12,73.6329,0.7347,0.96708,0.89746,0.98959,0.97222,0.97504,0.82507,0.69827,1.28673,0.82769,0.001637,0.001637,0.001637
13,78.3629,0.72289,0.93892,0.89863,0.99815,0.97222,0.97504,0.84329,0.59948,0.75867,0.78399,0.001604,0.001604,0.001604
14,84.2142,0.70275,0.84023,0.88516,0.9992,0.97222,0.97504,0.86451,0.51868,0.7259,0.7776,0.001571,0.001571,0.001571
15,89.2243,0.67852,0.8418,0.89807,0.99799,0.97222,0.97504,0.8596,0.5629,0.61392,0.78446,0.001538,0.001538,0.001538
16,94.5076,0.63673,0.73244,0.87005,0.99783,0.97222,0.97504,0.8508,0.51502,0.55866,0.77365,0.001505,0.001505,0.001505
17,100.167,0.67124,0.75435,0.87924,0.99826,0.97222,0.97504,0.84151,0.52811,0.58536,0.76889,0.001472,0.001472,0.001472
18,105.125,0.64002,0.75803,0.88889,0.99849,0.97222,0.97504,0.85343,0.50904,0.50872,0.76575,0.001439,0.001439,0.001439
